t_wall,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas
1774216109.6111522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019518213346600533,0.03166242316365242,0.01300886645913124,0.0023836322651021574,-0.0006893551326014477,0.002300950989827621
1774216109.661221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019521012902259827,0.03170871362090111,0.01303507387638092,0.00026380831378381233,0.005359124864916439,0.009419118222331463
1774216109.711209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019511567428708076,0.03167661279439926,0.012995950877666473,0.00087987216927831,-0.008432063877844592,-0.0028870750040603864
1774216109.7611244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019509945064783096,0.03173820674419403,0.012997145764529705,0.0005326273405552353,0.011054207053042601,-0.0014163424367192173
1774216109.8111768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019522344693541527,0.03168664500117302,0.01298680528998375,-0.0006238925258184179,0.002365116702145805,-0.0035465504549331227
1774216109.86122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019521057605743408,0.03166235238313675,0.013005095534026623,-0.0014895681771775813,-0.0022791268122744597,0.0010015163116018997
1774216109.9111905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019510488957166672,0.0316808745265007,0.013039106503129005,-0.0021519872471473635,-0.0022683744790353067,0.0030563866314834557
1774216109.9614723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019523799419403076,0.031675681471824646,0.012991326861083508,-0.0009073579187022878,0.0010771122676393712,0.00045340604239143796
1774216110.0112617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019516127184033394,0.03172677382826805,0.012996836565434933,0.001896569824489021,-0.003734987985957843,-0.0009986291760629236
1774216110.061307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01950976997613907,0.03177982568740845,0.013044381514191628,-0.0031073157271625535,0.006261063201866968,0.0015601927021242053
1774216110.112754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019518179818987846,0.031668271869421005,0.012977266684174538,0.00010629995672541033,-0.005316412810736079,-0.000385049926441295
1774216110.1613092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194899570196867,0.03171909973025322,0.013013526797294617,-0.004445180762634455,0.002836098800622974,0.0009463909051565984
1774216110.211179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019525974988937378,0.03173479810357094,0.012970300391316414,0.0023357437352612277,0.0037503958554012794,-0.002542500583589389
1774216110.261263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019524652510881424,0.031688861548900604,0.01299554854631424,-0.001792574294841585,-0.0029571946120904367,-0.001631836821472699
1774216110.311134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019512932747602463,0.03179502859711647,0.013004504144191742,-0.0031093810066971,0.01103897079234567,0.004243658502087664
1774216110.3611846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019536364823579788,0.03168197348713875,0.012989570386707783,0.002483446498247175,-0.002645630759357195,0.0016455548189187369
1774216110.4112346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019469916820526123,0.031711239367723465,0.01294675562530756,-0.00550280523556478,0.004114182499226266,-0.003235829466395592
1774216110.461043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01950959302484989,0.0317886620759964,0.01298566535115242,-0.001539245983543462,0.011101217906781046,-0.0015682933581325294
1774216110.5111997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019530899822711945,0.031658023595809937,0.013017063029110432,0.00044143131049979005,-0.0016818219858190583,8.884979143251093e-05
1774216110.5690424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019527491182088852,0.03170458599925041,0.01296649407595396,-0.00048366524457453053,0.0017733814238146824,-0.002133659138265592
1774216110.6112497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019511744379997253,0.03170296177268028,0.013012467883527279,0.0008698026860368847,0.000629249271740911,-0.0006773243434358872
